"","subnum","ahip_train_itemrep","ahip_train_itemrep2","ahip_train_catrep","ahip_cat_catrep","hip_train_itemrep","hip_train_itemrep2","hip_train_catrep","hip_cat_catrep","mofc_train_itemrep","mofc_train_itemrep2","mofc_train_catrep","mofc_cat_catrep","phip_train_itemrep","phip_train_itemrep2","phip_train_catrep","phip_cat_catrep"
"1",1,0.01033,0.04187,-0.00859,-0.0311,-0.02358,0.01488,-0.0236,0.00321,0.0228,0.01063,0.05641,-0.02822,-0.00406,0.01686,-0.03723,0.01537
"2",2,-0.02269,-0.00617,-0.03706,-0.03478,0.00439,0.01635,-0.03244,-0.06415,0.02096,0.04538,-0.10314,0.05199,0.0564,0.04661,0.00019,-0.07184
"3",3,-0.02453,-0.01416,0.03884,0.07995,-0.01638,-0.01861,0.05506,0.08107,0.03557,0.02152,0.00759,0.02746,-0.0046,-0.03249,0.04976,0.03275
"4",4,0.04202,0.03907,0.01071,-0.0509,0.05218,0.07213,0.00027,-0.06507,0.02001,-0.00947,0.00576,0.09668,0.05058,0.10345,-0.02283,-0.06843
"5",5,0.07726,0.03248,0.03798,-0.11102,0.06521,-0.00288,0.06825,-0.1092,0.05045,0.01743,0.01392,-0.07736,0.01626,-0.03662,0.06894,-0.11784
"6",8,0.05737,0.0967,-0.01024,-0.04098,0.06008,0.10318,-0.01424,-0.05315,0.0876,0.13119,0.00343,-0.03232,-2e-04,0.03333,-0.03124,-0.07622
"7",9,0.03114,0.04294,-0.02508,0.09797,-9e-05,0.04403,-0.06627,0.09828,-0.00989,0.01671,-0.00686,-0.01804,-0.01443,0.05663,-0.13129,0.04653
"8",10,0.02182,0.00862,0.02331,-0.17104,0.02043,0.00198,0.02786,-0.11896,0.07109,0.09205,-0.01826,-0.03736,-3e-05,-0.01542,0.01047,0.11325
"9",11,-0.03298,-0.03187,0.02371,-0.06038,0.0212,0.00059,0.00642,-0.06528,0.03574,0.02479,0.06442,0.02796,0.08817,0.05642,-0.01999,-0.02496
"10",12,0.02992,0.02055,0.00079,-0.04325,0.00469,0.00367,-0.01135,0.00766,0.06011,0.0547,-0.02043,0.00912,-0.04587,-0.02228,-0.03898,0.10737
"11",15,0.02574,0.03203,-0.01187,-0.01335,0.03954,0.04045,-0.00163,-0.02883,-0.00889,-0.00425,-0.0164,-0.0615,0.0446,0.0301,0.04272,-0.06814
"12",16,-0.02777,-0.01142,-0.01301,-0.06212,0.02628,0.02254,-0.01076,-0.03232,-0.04996,-0.033,0.00973,-0.00727,0.05922,0.01554,0.00806,0.02279
"13",17,-0.03958,-0.02993,-0.03144,-0.06751,-0.05504,-0.06811,8e-05,-0.1463,0.01072,0.03794,-0.00393,-0.11432,-0.06486,-0.10766,0.05314,-0.12489
"14",18,-0.02114,-0.01694,-0.00836,-0.10502,-0.0209,-0.03469,0.01103,-0.07524,0.00937,-0.00167,-0.01732,0.0183,-0.00913,-0.0448,0.02094,-0.0051
"15",19,-0.03648,-0.03124,0.01434,-0.0951,-0.02611,-0.01381,0.00979,-0.04422,0.01654,0.01329,-0.00406,-0.05729,0.01705,0.03739,-0.00412,0.04616
"16",20,0.00464,0.01445,0.01411,0.10732,0.00128,0.01531,0.04181,0.10616,0.04103,0.03553,0.04467,0.0152,-0.00087,0.00702,0.05428,0.05276
"17",21,0.04856,0.05978,-0.03597,0.05091,0.02382,0.03453,-0.03822,0.0609,-0.02894,-0.00369,0.02541,-0.13163,-0.01247,-0.01532,-0.0058,0.04982
"18",22,0.03943,0.05171,0.00914,0.06483,0.03012,0.03696,0.01527,0.08905,-0.04608,-0.05222,0.05538,0.04617,-0.0026,-0.01414,0.03331,0.04331
"19",23,0.04209,0.0725,-0.05042,0.02979,0.03582,0.05129,-0.0388,-0.00729,0.02855,0.02912,-0.01421,0.04572,-0.00574,-0.03464,0.02423,-0.02966
"20",24,0.02697,0.03342,-0.02903,-0.02428,0.00519,0.0176,-0.02194,-0.04748,-0.02959,-0.00503,-0.0438,-0.02932,-0.05237,-0.04875,-0.0022,-0.07304
"21",25,0.00356,0.0201,-0.03701,-0.07001,-0.02921,-0.03203,-0.02676,-0.07429,0.04719,0.04591,0.00918,0.10462,-0.04299,-0.06882,0.00036,-0.03725
"22",26,0.0259,0.09109,0.0076,0.16511,0.03519,0.07509,0.02721,0.10765,-0.00239,0.02133,0.02113,-0.08646,0.03495,0.00669,0.04803,-0.06719
"23",27,-0.06755,-0.03291,0.03626,-0.04152,-0.07958,-0.06281,0.04644,-0.08323,-0.02552,0.00177,-0.01326,-0.02308,-0.06346,-0.08411,0.04334,-0.14106
"24",28,-0.00731,-0.03497,0.01257,-0.09989,-0.00534,-0.03074,0.00579,-0.05081,0.02938,-0.0061,0.03963,0.00241,-0.00379,-0.02443,-0.00323,0.02325
"25",30,-0.00219,0.00739,0.00057,0.03173,0.02795,0.02547,0.00297,0.0213,0.01903,-0.06456,0.10697,-0.0147,0.09401,0.04719,0.00237,0.02695
"26",31,0.08477,0.07891,-0.05168,0.06987,0.07936,0.07788,-0.06727,0.06835,-0.04744,-0.03674,-0.02125,-0.05149,0.02369,-0.00428,-0.01919,-0.03875
"27",32,0.00552,0.07457,-0.01391,0.03969,0.02441,0.11002,-0.03668,0.01992,0.03685,0.0439,0.00574,-0.00502,0.0397,0.10562,-0.0311,-0.01735
