"","subnum","early_ahip_itemrep","early_ahip_itemrep2","early_ahip_catrep","late_ahip_itemrep","late_ahip_itemrep2","late_ahip_catrep","early_mofc_itemrep","early_mofc_itemrep2","early_mofc_catrep","late_mofc_itemrep","late_mofc_itemrep2","late_mofc_catrep","early_phip_itemrep","early_phip_itemrep2","early_phip_catrep","late_phip_itemrep","late_phip_itemrep2","late_phip_catrep"
"1",1,-0.06125,-0.07179,0.04636,0.0207,0.01188,0.02779,0.16203,0.10794,0.04539,-0.13184,-0.09788,-0.06141,-0.07082,-0.0335,-0.06332,-0.20639,-0.229,0.01375
"2",2,-0.12035,-0.02304,-0.08143,-0.04771,-0.27578,0.13258,-0.09252,0.06183,-0.15204,0.01485,-0.07255,-0.08249,-0.04481,-0.01973,0.0232,0.01119,-0.09916,0.05834
"3",3,-0.03066,-0.00631,0.03014,0.02574,-0.07161,0.17473,-0.03759,-0.01397,0.08183,0.16175,0.08517,-0.0011,-0.03055,-0.09734,0.14377,0.09094,-0.17618,0.19985
"4",4,-0.03331,-0.0421,0.08695,-0.08691,0.0795,0.01454,0.14081,0.03653,0.1035,-0.21057,-0.20111,0.01996,-0.04122,0.00013,-0.00328,-0.08043,0.07603,-0.09848
"5",5,0.18317,0.21062,0.01371,0.06752,0.05771,0.02672,0.1499,-0.02709,0.09429,0.1289,0.08215,0.00991,-0.02401,-0.12792,-0.01553,0.14621,0.116,0.05552
"6",8,0.06323,0.17797,-0.11703,0.00912,-0.03701,0.03977,-0.095,-0.03451,0.02978,0.17733,0.02873,0.1918,0.1321,0.15374,-0.01309,-0.05514,-0.10239,0.13287
"7",9,0.03775,-0.05759,0.07276,0.18051,0.20497,-0.06097,-0.02022,0.12757,-0.1272,-0.12188,-0.06336,0.03393,0.13008,0.15183,-0.05245,-0.02058,-0.03593,-0.13546
"8",10,0.04428,-0.03457,0.09914,0.095,0.13866,-0.08028,0.04677,0.0917,-0.02008,0.02758,0.03576,-0.02636,-0.10675,-0.21061,0.14131,0.06518,0.05037,0.02167
"9",11,0.04296,0.03342,-0.0385,-0.08717,0.00713,-0.11793,0.02215,0.01198,0.09768,0.0696,-0.01583,0.16889,0.20131,0.07066,0.06782,-0.01056,-0.02516,0.00222
"10",12,-0.04493,-0.10683,0.0235,0.16002,0.19062,0.01999,0.08193,-0.01024,0.0588,-0.06917,-0.01002,0.024,0.02551,-0.11724,0.08428,-0.03544,0.16397,-0.21188
